"priorindex","index","postindex","episode","Provider","starrating","tracklab","surgeryregistry","nursingregistry","Total Case Mix Index-Sum of Relative Weights","Disproportionate Share Hospital Patient percent","AHA: NETWORK","AHA: MEDICAL HOME PROGRAM YES/NO","AHA: DISCHARGES, MEDICARE INPAT,","AHA: DISCHARGES, MEDICAID INPAT,","AHA: ADJUSTED ADMISSIONS","AHA: PERSONNEL, FTE, MD & DD","AHA: TOTAL PRIVILEDGE PHYSICIAN TOT PRI CAR","AHA: TOTAL PRIVILEDGE PHYSICIAN TOTAL","ownership","hospital","hrr","maadvantage","avgagehrr","avghcchrr","pctmalehrr","pctblackhrr","pcthispanichrr","pctmdcaidhrr","pctbenesusip","pctbenesusnf","pctbenesuhh","pctbenesuop","pctbenesuasc","Acute Care Hospital Beds per 1,000 Residents (2012)","FTE Hospital Employees per 1,000 Residents (2012)","Total Physicians per 100,000 Residents (2011)","Primary Care Physicians per 100,000 Residents (2011)","Total Specialists per 100,000 Residents (2011)","Medical Specialists per 100,000 Residents (2011)","Surgeons per 100,000 Residents (2011)","mdadjadmit","bundledpayment","Rank for Variable dshpct","Rank for Variable cmi","Rank for Variable mdadjadmit","mdschool","bedsize","Bed Count: Certified","urban","jchao","teaching"
627,8498,8276,17400,010035,3,Yes,N,N,1.4811,0.26219,0,0,3640,1477,16307,19,,,public,Cullman Regional Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0011651438,,2,1,2,no affiliation,medium,115,0,1,0
506,7646,6994,15145,010036,3,Yes,N,N,1.2559,0.35734,0,0,1440,706,7187,5,,,for-profit,Andalusia Regional Hospital,134,23.86,75,0.99,44.94,7.37,1.5,9.69,18.38,5.73,11.51,72.05,16.12,2.525021304667,12.15900103969,212.10058512,71.653057535,138.02246356,47.341649615,50.720172158,0.0006957006,0,3,0,2,no affiliation,medium,100,0,0,0
595,7615,7261,15471,010038,3,No,N,N,1.3225,0.24171,,,1622,419,7731,3,,,for-profit,Stringfellow Memorial Hospital,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0003880481,,1,0,1,no affiliation,medium,125,1,1,0
777,12106,8755,21638,010039,3,Yes,N,Y,1.92242,0.26575,1,0,19141,7122,90873,159,251,733,public,Huntsville Hospital,005,17.44,75,0.97,42.93,9.72,0.75,10.3,18.16,5.51,9.4,70.05,12.59,2.399744334398,14.97039300681,177.74665115,68.749335603,106.48087405,36.528524214,37.211258235,0.0017496946,0,2,3,3,limited/graduate,large,881,1,1,1
565,10463,8490,19517,010040,2,Yes,N,N,1.6203,0.28725,0,,5622,2295,23664,7,,,for-profit,Gadsden Regional Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.000295808,,2,2,1,no affiliation,medium,346,1,1,0
312,5909,6127,12348,010044,5,Yes,N,N,1.0962,0.19962,,,292,52,1682,4,,,not-for-profit,Marion Regional Medical Center,262,8.88,75,0.94,42.32,16.77,0.29,21.67,17.6,6.31,11.49,64.88,15.76,3.400971595751,17.37660452956,143.18957269,51.696598966,89.504013771,31.617391598,32.17107087,0.0023781213,,1,0,3,no affiliation,small,57,0,1,0
443,6829,7433,14704,010045,4,Yes,N,N,1.0532,0.23402,,,911,94,2989,11,,,not-for-profit,Fayette Medical Center,009,12.81,75,1,42.3,22.19,0.26,15.65,19.75,6.23,12.23,60.34,12.75,3.597471969813,20.4907343199,173.57398935,66.648514235,104.62318538,34.018016493,33.985005031,0.0036801606,,1,0,3,no affiliation,small,61,0,1,0
513,9985,8253,18752,010046,3,Yes,N,N,1.5862,0.19884,0,0,3159,718,13671,4,,,for-profit,Riverview Regional Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0002925902,,1,2,1,no affiliation,medium,281,1,1,0
259,5097,5949,11304,010047,3,No,N,N,0.8891,0.27728,,,285,16,1599,1,,,for-profit,Georgiana Hospital,007,26.22,75,0.96,42.5,24.41,0.33,11.92,17.46,5.04,10.17,67.17,10.71,2.490869662142,12.77784658305,147.67079371,58.810581712,86.49612276,30.322252309,31.062778309,0.0006253909,,2,0,2,no affiliation,small,22,0,0,0
473,7986,7818,16277,010049,3,No,N,N,1.2268,0.36609,,,1055,971,6534,4,,,for-profit,Medical Center Enterprise,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,16.6972736977,150.50047033,51.232158476,97.175523054,30.214979655,38.287595748,0.0006121824,,3,0,2,no affiliation,medium,131,0,1,0
224,6013,6518,12755,010051,3,Yes,N,N,0.8815,0.5115,0,0,147,139,613,4,4,6,public,Greene County Health System,009,12.81,75,1,42.3,22.19,0.26,15.65,19.75,6.23,12.23,60.34,12.75,3.597471969813,20.4907343199,173.57398935,66.648514235,104.62318538,34.018016493,33.985005031,0.0065252855,0,3,0,3,no affiliation,small,20,1,0,0
257,5941,6540,12739,010052,3,No,N,N,0.9727,0.22059,1,,445,83,2527,1,,,for-profit,Lake Martin Community Hospital,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0003957262,,1,0,1,no affiliation,small,46,0,0,0
611,11119,8551,20282,010055,4,Yes,N,N,1.6507,0.20667,0,0,4740,1155,23632,14,78,307,for-profit,Flowers Hospital,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,16.6972736977,150.50047033,51.232158476,97.175523054,30.214979655,38.287595748,0.0005924171,0,1,2,1,no affiliation,medium,235,1,1,0
598,12522,9497,22617,010056,3,Yes,N,Y,1.82301,0.12582,0,1,9735,1103,47490,26,205,716,not-for-profit,St. Vincent's Birmingham,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0005474837,0,0,3,1,no affiliation,large,409,1,1,0
288,5712,9743,15744,010058,,No,N,N,0.9529,0.11107,0,,322,68,1336,5,,,public,Bibb Medical Center,009,12.81,75,1,42.3,22.19,0.26,15.65,19.75,6.23,12.23,60.34,12.75,3.597471969813,20.4907343199,173.57398935,66.648514235,104.62318538,34.018016493,33.985005031,0.003742515,,0,0,3,no affiliation,small,35,1,0,0
477,6613,6003,13093,010059,4,Yes,N,N,1.2011,0.22808,,,456,60,2728,6,,,public,Lawrence Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0021994135,,1,0,3,no affiliation,small,98,1,0,0
447,6595,7105,14147,010061,3,Yes,N,N,1.0173,0.36313,0,,1908,508,9204,12,,,public,Highlands Medical Center,005,17.44,75,0.97,42.93,9.72,0.75,10.3,18.16,5.51,9.4,70.05,12.59,2.399744334398,14.97039300681,177.74665115,68.749335603,106.48087405,36.528524214,37.211258235,0.001303781,,3,0,2,no affiliation,medium,170,0,1,0
321,6610,7120,14051,010062,3,Yes,N,N,1.0614,0.20324,0,,1074,150,3324,8,,,not-for-profit,Wiregrass Medical Center,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,16.6972736977,150.50047033,51.232158476,97.175523054,30.214979655,38.287595748,0.0024067389,,1,0,3,no affiliation,small,83,1,0,0
576,8884,9185,18645,010065,3,Yes,N,N,1.5268,0.32088,1,0,1762,666,14736,11,19,102,not-for-profit,Russell Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0007464712,0,2,2,2,no affiliation,small,81,0,1,0
504,6126,8085,14715,010069,3,No,N,N,1.0232,0.25182,0,0,1016,110,4115,0,8,87,public,Medical Center Barbour,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,16.6972736977,150.50047033,51.232158476,97.175523054,30.214979655,38.287595748,0,1,1,0,0,no affiliation,small,74,0,0,0
295,6462,7077,13834,010073,3,Yes,N,N,1.0207,0.42551,,,770,325,3408,7,,,public,Clay County Hospital,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0020539906,,3,0,3,no affiliation,small,53,0,0,0
623,10061,8423,19107,010078,2,No,Y,Y,1.6596,0.2743,0,0,6120,2501,26416,27,,,public,Northeast Alabama Regional Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0010221078,,2,2,2,limited/graduate,medium,338,1,1,1
497,8296,7017,15810,010079,2,Yes,N,Y,1.2827,0.30634,1,0,2127,1064,13890,28,34,142,public,Athens-Limestone Hospital,005,17.44,75,0.97,42.93,9.72,0.75,10.3,18.16,5.51,9.4,70.05,12.59,2.399744334398,14.97039300681,177.74665115,68.749335603,106.48087405,36.528524214,37.211258235,0.0020158387,0,2,0,3,no affiliation,medium,101,1,1,0
621,9268,7578,17468,010083,3,No,N,N,1.2746,0.19927,0,,2367,832,12186,7,,,for-profit,South Baldwin Regional Medical Center,006,35.83,75,0.95,43.79,15.15,0.73,9.93,18.24,5.08,11.48,65.94,12.04,2.593655259872,14.21799728053,172.88627154,56.427156868,114.43308883,41.171818032,40.161441281,0.0005744297,,1,0,1,no affiliation,medium,112,0,1,0
501,8935,8210,17647,010085,2,No,N,N,1.4368,0.28438,,,4621,1031,21138,25,,,public,Decatur Morgan Hospital,005,17.44,75,0.97,42.93,9.72,0.75,10.3,18.16,5.51,9.4,70.05,12.59,2.399744334398,14.97039300681,177.74665115,68.749335603,106.48087405,36.528524214,37.211258235,0.0011827041,,2,1,2,no affiliation,large,457,1,1,0
761,9946,10043,14298,010086,4,Yes,N,N,1.0815,0.18942,,,1090,171,4323,4,,,for-profit,Northwest Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0009252834,,1,0,2,no affiliation,small,71,0,1,0
1041,13073,9003,23117,010087,3,No,N,N,2.1904,0.50237,0,0,1239,1361,12086,19,133,291,public,University of South Alabama Medical Center,006,35.83,75,0.95,43.79,15.15,0.73,9.93,18.24,5.08,11.48,65.94,12.04,2.593655259872,14.21799728053,172.88627154,56.427156868,114.43308883,41.171818032,40.161441281,0.0015720669,,3,3,2,major teaching,large,406,1,1,1
599,9370,7751,17721,010089,3,Yes,N,N,1.4032,0.31685,0,0,3872,2253,16326,0,35,121,not-for-profit,Walker Baptist Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0,0,2,1,0,no affiliation,medium,267,1,1,0
509,9373,9219,20097,010090,2,Yes,Y,Y,1.8548,0.18586,0,1,8215,1922,28378,32,,,not-for-profit,Providence Hospital,006,35.83,75,0.95,43.79,15.15,0.73,9.93,18.24,5.08,11.48,65.94,12.04,2.593655259872,14.21799728053,172.88627154,56.427156868,114.43308883,41.171818032,40.161441281,0.0011276341,,1,3,2,no affiliation,medium,349,1,1,0
352,5486,7051,12891,010091,3,Yes,N,N,0.943,0.54784,,,265,429,4135,5,,,public,Grove Hill Memorial Hospital,006,35.83,75,0.95,43.79,15.15,0.73,9.93,18.24,5.08,11.48,65.94,12.04,2.593655259872,14.21799728053,172.88627154,56.427156868,114.43308883,41.171818032,40.161441281,0.0012091898,,3,0,2,no affiliation,small,50,0,0,0
694,10362,8199,19253,010092,2,Yes,N,Y,1.59141,0.32889,0,0,13275,4981,61262,17,250,426,public,DCH Regional Medical Center,009,12.81,75,1,42.3,22.19,0.26,15.65,19.75,6.23,12.23,60.34,12.75,3.597471969813,20.4907343199,173.57398935,66.648514235,104.62318538,34.018016493,33.985005031,0.0002774967,0,2,2,1,major teaching,large,787,1,1,1
312,5395,7883,13591,010095,,Yes,N,N,0.9565,0.46296,,,313,89,2680,2,,,public,Hale County Hospital,009,12.81,75,1,42.3,22.19,0.26,15.65,19.75,6.23,12.23,60.34,12.75,3.597471969813,20.4907343199,173.57398935,66.648514235,104.62318538,34.018016493,33.985005031,0.0007462687,,3,0,2,no affiliation,small,39,1,0,0
437,6414,6235,13088,010097,3,No,N,N,0.7937,0.37394,,,516,130,7716,1,,,public,Elmore Community Hospital,007,26.22,75,0.96,42.5,24.41,0.33,11.92,17.46,5.04,10.17,67.17,10.71,2.490869662142,12.77784658305,147.67079371,58.810581712,86.49612276,30.322252309,31.062778309,0.0001296008,,3,0,1,no affiliation,small,69,1,0,0
437,5790,6950,13177,010099,2,Yes,N,N,0.9518,0.35478,0,0,779,417,6621,2,,,public,D. W. McMillan Memorial Hospital,134,23.86,75,0.99,44.94,7.37,1.5,9.69,18.38,5.73,11.51,72.05,16.12,2.525021304667,12.15900103969,212.10058512,71.653057535,138.02246356,47.341649615,50.720172158,0.0003020692,0,3,0,1,no affiliation,small,65,0,1,0
608,11537,7826,19971,010100,4,Yes,N,N,1.7692,0.1468,,,3232,893,20936,20,,,public,Thomas Hospital,006,35.83,75,0.95,43.79,15.15,0.73,9.93,18.24,5.08,11.48,65.94,12.04,2.593655259872,14.21799728053,172.88627154,56.427156868,114.43308883,41.171818032,40.161441281,0.0009552923,,0,3,2,no affiliation,medium,150,0,1,0
558,6950,8351,15857,010101,3,Yes,N,N,1.135,0.46038,0,0,1523,847,8335,0,14,198,not-for-profit,Citizens Baptist Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0,0,3,0,0,no affiliation,medium,122,0,1,0
202,5122,6984,12309,010102,,Yes,N,N,0.9055,0.38815,0,0,110,26,1582,2,4,16,not-for-profit,J. Paul Jones Hospital,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0012642225,1,3,0,2,no affiliation,small,30,0,0,0
809,10859,10003,22961,010103,3,Yes,N,N,1.8325,0.23599,0,0,8762,1785,22505,0,82,442,not-for-profit,Princeton Baptist Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0,0,1,3,0,no affiliation,large,505,1,1,0
730,12085,7510,20323,010104,2,Yes,N,N,1.6826,0.27485,,0,3827,1571,22559,46,98,660,for-profit,Grandview Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0020390975,0,2,2,3,limited/graduate,medium,372,1,1,1
563,7009,6960,14532,010108,4,Yes,N,N,1.2297,0.19467,0,0,1688,349,8337,0,27,92,public,Prattville Baptist Hospital,007,26.22,75,0.96,42.5,24.41,0.33,11.92,17.46,5.04,10.17,67.17,10.71,2.490869662142,12.77784658305,147.67079371,58.810581712,86.49612276,30.322252309,31.062778309,0,0,1,0,0,no affiliation,small,85,1,1,0
372,5194,5033,10599,010109,3,Yes,N,N,1.1003,0.29024,,,632,274,4177,7,,,public,Pickens County Medical Center,009,12.81,75,1,42.3,22.19,0.26,15.65,19.75,6.23,12.23,60.34,12.75,3.597471969813,20.4907343199,173.57398935,66.648514235,104.62318538,34.018016493,33.985005031,0.0016758439,,2,0,2,limited/graduate,small,56,0,0,1
301,5332,7384,13018,010110,3,No,N,N,0.9543,0.49819,0,,626,514,3458,1,,,for-profit,Bullock County Hospital,007,26.22,75,0.96,42.5,24.41,0.33,11.92,17.46,5.04,10.17,67.17,10.71,2.490869662142,12.77784658305,147.67079371,58.810581712,86.49612276,30.322252309,31.062778309,0.0002891845,,3,0,1,no affiliation,small,54,0,0,0
311,5782,6748,12843,010112,3,Yes,N,N,0.9163,0.58993,0,,1308,881,6465,9,,,public,Bryan W. Whitfield Memorial Hospital,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0013921114,,3,0,2,no affiliation,small,99,0,0,0
747,11334,7723,19804,010113,2,Yes,N,N,1.74171,0.27341,,,9552,3152,47563,114,,,not-for-profit,Mobile Infirmary Medical Center,006,35.83,75,0.95,43.79,15.15,0.73,9.93,18.24,5.08,11.48,65.94,12.04,2.593655259872,14.21799728053,172.88627154,56.427156868,114.43308883,41.171818032,40.161441281,0.0023968211,,2,3,3,limited/graduate,large,689,1,1,1
536,9494,8673,18704,010114,3,Yes,N,N,1.5489,0.29033,1,0,3801,1242,15586,20,52,260,public,Medical West,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0012832029,1,2,2,2,no affiliation,medium,300,1,1,0
532,7719,8076,16328,010118,3,Yes,N,N,1.4553,0.61492,0,,2127,1989,10400,5,,,for-profit,Vaughan Regional Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0004807692,,3,1,1,limited/graduate,medium,214,0,1,1
505,5916,8390,14811,010120,3,Yes,N,N,0.9985,0.37151,0,,631,470,11012,9,,,public,Monroe County Hospital,006,35.83,75,0.95,43.79,15.15,0.73,9.93,18.24,5.08,11.48,65.94,12.04,2.593655259872,14.21799728053,172.88627154,56.427156868,114.43308883,41.171818032,40.161441281,0.0008172902,,3,0,2,no affiliation,small,94,0,1,0
293,6067,5336,11696,010125,5,Yes,N,N,1.0586,0.27874,,,1068,240,2833,4,,,not-for-profit,Lakeland Community Hospital,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0014119308,,2,0,2,no affiliation,small,50,0,1,0
262,5823,5602,11686,010128,3,No,N,N,0.9258,0.38503,,,408,226,3649,1,,,for-profit,Jackson Medical Center,006,35.83,75,0.95,43.79,15.15,0.73,9.93,18.24,5.08,11.48,65.94,12.04,2.593655259872,14.21799728053,172.88627154,56.427156868,114.43308883,41.171818032,40.161441281,0.0002740477,,3,0,1,no affiliation,small,35,0,0,0
614,7021,6618,14253,010129,2,Yes,N,N,1.1565,0.38824,,,1030,376,5639,8,,,not-for-profit,North Baldwin Infirmary,006,35.83,75,0.95,43.79,15.15,0.73,9.93,18.24,5.08,11.48,65.94,12.04,2.593655259872,14.21799728053,172.88627154,56.427156868,114.43308883,41.171818032,40.161441281,0.0014186913,,3,0,2,no affiliation,small,70,0,0,0
478,6818,5711,13007,010130,3,Yes,N,Y,1.0079,0.14095,0,0,1261,121,7997,0,20,175,not-for-profit,St. Vincent's St. Clair,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0,0,0,0,0,no affiliation,small,40,1,1,0
